No.;Street Number;Street Name;Household Owner;Household Code;Coordinate
301;216;"Lorong 16 Geylang";Inuarashi Gladiator;Inuarashi_Gladiator;1.311786,103.879886
302;35;"Geylang East Avenue 2";Shanks Duke;Shanks_Duke;1.318016,103.888966
303;314;"Jalan Dua";Yamato Duke;Yamato_Duke;1.308984,103.887473
304;928;"Lorong 33 Geylang";Crocodile Sir;Crocodile_Sir;1.315043,103.887816
305;190;"Geylang East Central";Urouge Luffy;Urouge_Luffy;1.320271,103.887383
306;890;"Geylang East Central";Pedro Fishman;Pedro_Fishman;1.320271,103.887383
307;414;"Lorong 25 Geylang";Enel Robin;Enel_Robin;1.313488,103.882843
308;913;"Sims Avenue";Monkey D. Chopper;Monkey_D_Chopper;1.311498,103.872027
309;759;"Lorong 22 Geylang";Roronoa Sir;Roronoa_Sir;1.311354,103.882128
310;157;"Aljunied Road";Jewelry Hancock;Jewelry_Hancock;1.327641,103.880045
311;72;"Jalan Enam";Jewelry Mad Monk;Jewelry_Mad_Monk;1.307334,103.885615
312;943;"Aljunied Road";Boa Sir;Boa_Sir;1.329718,103.879493
313;907;"Lorong 28 Geylang";Nekomamushi Fishman;Nekomamushi_Fishman;1.312948,103.885577
314;637;"Jalan Enam";Crocodile Teach;Crocodile_Teach;1.307334,103.885615
315;632;"Geylang East Central";Bentham Robin;Bentham_Robin;1.320271,103.887383
316;579;"Lorong 25 Geylang";Sabo God;Sabo_God;1.313488,103.882843
317;130;"Lorong Bachok";Jewelry Onigashima;Jewelry_Onigashima;1.313975,103.879763
318;711;"Lorong Bachok";Ivankov Dancer;Ivankov_Dancer;1.313975,103.879763
319;395;"Lorong 16 Geylang";Eustass God;Eustass_God;1.312466,103.879822
320;189;"Lorong 28 Geylang";Crocodile Katakuri;Crocodile_Katakuri;1.312266,103.885598
321;928;"Geylang East Avenue 1";Charlotte Duke;Charlotte_Duke;1.316649,103.885158
322;846;"Sims Avenue";Koala Luffy;Koala_Luffy;1.317481,103.901547
323;108;"Lorong 27 Geylang";Ivankov Mr.2;Ivankov_Mr2;1.315859,103.883817
324;100;"Lorong 38 Geylang";Kozuki Oden;Kozuki_Oden;1.314268,103.888856
325;129;"Lorong 28 Geylang";Nefertari Bonney;Nefertari_Bonney;1.312948,103.885577
326;772;"Geylang Road";Enel Cat Viper;Enel_Cat_Viper;1.313369,103.883518
327;748;"Geylang Road";Vinsmoke Fishman;Vinsmoke_Fishman;1.312238,103.877114
328;720;"Lorong 38 Geylang";Pedro Sir;Pedro_Sir;1.314268,103.888856
329;673;"Guillemard Road";Trafalgar D. Onigashima;Trafalgar_D_Onigashima;1.311316,103.885966
330;704;"Geylang Road";Monkey D. Sanji;Monkey_D_Sanji;1.314658,103.891052
331;208;"Sims Avenue";Arlong Cyborg;Arlong_Cyborg;1.315242,103.883405
332;911;"Geylang East Central";Marshall D. Star Clown;Marshall_D_Star_Clown;1.320271,103.887383
333;761;"Tanjong Katong Road";Buggy God;Buggy_God;1.316038,103.894042
334;797;"Lorong Bachok";Roronoa Fishman;Roronoa_Fishman;1.313975,103.879763
335;608;"Jalan Satu";Capone Fishman;Capone_Fishman;1.308453,103.889060
336;522;"Lorong 38 Geylang";Tony Tony Fishman;Tony_Tony_Fishman;1.314268,103.888856
337;902;"Lorong 10 Geylang";Jewelry Teach;Jewelry_Teach;1.311505,103.877669
338;291;"Geylang Road";Brook Star Clown;Brook_Star_Clown;1.313369,103.883518
339;906;"Sims Avenue";Inuarashi Cyborg;Inuarashi_Cyborg;1.317736,103.903608
340;999;"Tanjong Katong Road";Ivankov Hancock;Ivankov_Hancock;1.303616,103.896680
341;350;"Lorong 22 Geylang";Nefertari Sir;Nefertari_Sir;1.311354,103.882128
342;115;"Geylang East Avenue 2";Shanks Mr.2;Shanks_Mr2;1.316929,103.888472
343;625;"Geylang East Avenue 1";Capone Cat Viper;Capone_Cat_Viper;1.316649,103.885158
344;90;"Lorong 25 Geylang";Koala Robin;Koala_Robin;1.314279,103.882528
345;747;"Geylang East Central";Charlotte Clown;Charlotte_Clown;1.320271,103.887383
346;794;"Aljunied Road";Tony Tony Robin;Tony_Tony_Robin;1.320843,103.881743
347;406;"Geylang East Avenue 2";Sabo Gladiator;Sabo_Gladiator;1.316929,103.888472
348;748;"Lorong 40 Geylang";Ivankov Chopper;Ivankov_Chopper;1.312992,103.889933
349;716;"Lorong 27 Geylang";Jimbei Robin;Jimbei_Robin;1.316220,103.883875
350;794;"Paya Lebar Road";Brook Cyborg;Brook_Cyborg;1.331659,103.889374
351;742;"Lorong 16 Geylang";Enel Clown;Enel_Clown;1.311263,103.879935
352;900;"Geylang East Avenue 2";Crocodile (Okama);Crocodile_Okama;1.316978,103.888492
353;275;"Tanjong Katong Road";Roronoa Zoro;Roronoa_Zoro;1.307071,103.895723
354;337;"Guillemard Road";Arlong Ace;Arlong_Ace;1.311482,103.885416
355;631;"Lorong Bachok";Donquixote Luffy;Donquixote_Luffy;1.313942,103.879613
356;568;"Geylang East Avenue 1";Roronoa Katakuri;Roronoa_Katakuri;1.316644,103.885156
357;323;"Tanjong Katong Road";Inuarashi Ace;Inuarashi_Ace;1.311794,103.894196
358;685;"Lorong 40 Geylang";Capone Mihawk;Capone_Mihawk;1.313164,103.889899
359;624;"Geylang Road";Franky Zoro;Franky_Zoro;1.315336,103.893413
360;525;"Lorong Bachok";Capone Mermaid Princess;Capone_Mermaid_Princess;1.313942,103.879613
361;211;"Lorong 16 Geylang";Vinsmoke Vivi;Vinsmoke_Vivi;1.311263,103.879935
362;296;"Lorong 25 Geylang";Jimbei Oden;Jimbei_Oden;1.313546,103.882821
363;240;"Geylang East Avenue 1";Koala Mihawk;Koala_Mihawk;1.316644,103.885156
364;147;"Lorong 16 Geylang";Caesar Red-Haired;Caesar_RedHaired;1.311263,103.879935
365;695;"Geylang East Central";Shirahoshi Sanji;Shirahoshi_Sanji;1.320271,103.887383
366;619;"Paya Lebar Road";Koala Marine;Koala_Marine;1.317709,103.892050
367;449;"Paya Lebar Road";Brook Mad Monk;Brook_Mad_Monk;1.317709,103.892050
368;51;"Geylang Road";Roronoa Vivi;Roronoa_Vivi;1.308361,103.886055
369;247;"Lorong 22 Geylang";Trafalgar D. Revo;Trafalgar_D_Revo;1.310695,103.882132
370;506;"Lorong 28 Geylang";Sabo Mermaid Princess;Sabo_Mermaid_Princess;1.313172,103.885564
371;399;"Jalan Satu";Boa Law;Boa_Law;1.308417,103.889067
372;582;"Geylang East Central";Rebecca Kid;Rebecca_Kid;1.320271,103.887383
373;717;"Geylang Road";Kozuki Bonney;Kozuki_Bonney;1.315538,103.894412
374;331;"Aljunied Road";Capone Clown;Capone_Clown;1.329506,103.879412
375;602;"Lorong 40 Geylang";Portgas D. Gladiator;Portgas_D_Gladiator;1.313881,103.889303
376;477;"Paya Lebar Road";Donquixote Red-Haired;Donquixote_RedHaired;1.317709,103.892050
377;749;"Aljunied Road";X. Drake Red-Haired;X_Drake_RedHaired;1.329506,103.879412
378;434;"Aljunied Road";Ivankov Doflamingo;Ivankov_Doflamingo;1.329506,103.879412
379;347;"Guillemard Road";Tony Tony God;Tony_Tony_God;1.311635,103.886074
380;99;"Lorong Bachok";Portgas D. Law;Portgas_D_Law;1.313942,103.879613
381;813;"Lorong 27 Geylang";Eustass Gang Bege;Eustass_Gang_Bege;1.316220,103.883875
382;410;"Guillemard Road";Pedro Luffy;Pedro_Luffy;1.312628,103.891373
383;392;"Tanjong Katong Road";Inuarashi Mr.2;Inuarashi_Mr2;1.308121,103.895077
384;119;"Jalan Enam";Monkey D. Bonney;Monkey_D_Bonney;1.307526,103.885526
385;651;"Lorong 40 Geylang";Eustass Cat Viper;Eustass_Cat_Viper;1.313164,103.889899
386;262;"Geylang Road";Jewelry Sanji;Jewelry_Sanji;1.310151,103.871860
387;832;"Lorong 25 Geylang";Capone Revo;Capone_Revo;1.313546,103.882821
388;110;"Tanjong Katong Road";Boa Robin;Boa_Robin;1.304707,103.896406
389;334;"Lorong 40 Geylang";Bentham Ace;Bentham_Ace;1.313164,103.889899
390;580;"Lorong 22 Geylang";Crocodile Mihawk;Crocodile_Mihawk;1.310695,103.882132
391;409;"Lorong 10 Geylang";Marshall D. (Okama);Marshall_D_Okama;1.311060,103.877770
392;976;"Lorong 38 Geylang";Marshall D. God;Marshall_D_God;1.314343,103.888842
393;882;"Lorong Bachok";Sabo Sir;Sabo_Sir;1.313895,103.879379
394;673;"Lorong 38 Geylang";Koala Gladiator;Koala_Gladiator;1.314343,103.888842
395;969;"Geylang East Avenue 2";Yamato Luffy;Yamato_Luffy;1.316978,103.888492
396;796;"Lorong 10 Geylang";Shirahoshi Star Clown;Shirahoshi_Star_Clown;1.311060,103.877770
397;161;"Lorong 12 Geylang";Inuarashi Onigashima;Inuarashi_Onigashima;1.311688,103.878273
398;992;"Lorong 22 Geylang";Brook Mermaid Princess;Brook_Mermaid_Princess;1.310695,103.882132
399;286;"Guillemard Road";Pekoms Sir;Pekoms_Sir;1.314038,103.892929
400;124;"Sims Avenue";X. Drake Hancock;X_Drake_Hancock;1.314097,103.878333
401;888;"Paya Lebar Road";Nefertari Dancer;Nefertari_Dancer;1.317709,103.892050
402;511;"Paya Lebar Road";Kozuki Teach;Kozuki_Teach;1.317709,103.892050
403;583;"Lorong 38 Geylang";Tony Tony Clown;Tony_Tony_Clown;1.314343,103.888842
404;354;"Aljunied Road";Trafalgar D. Mad Monk;Trafalgar_D_Mad_Monk;1.329506,103.879412
405;750;"Lorong 28 Geylang";Charlotte Law;Charlotte_Law;1.313172,103.885564
406;722;"Lorong 22 Geylang";X. Drake Mad Monk;X_Drake_Mad_Monk;1.310695,103.882132
407;153;"Lorong 38 Geylang";Roronoa Mr.2;Roronoa_Mr2;1.314343,103.888842
408;967;"Lorong 28 Geylang";Pekoms Hancock;Pekoms_Hancock;1.311265,103.885729
409;574;"Guillemard Road";Portgas D. Chopper;Portgas_D_Chopper;1.312628,103.891373
410;983;"Lorong 38 Geylang";Ivankov Bonney;Ivankov_Bonney;1.314343,103.888842
411;403;"Lorong 25 Geylang";Buggy Bonney;Buggy_Bonney;1.313546,103.882821
412;327;"Lorong 38 Geylang";Pedro Law;Pedro_Law;1.314343,103.888842
413;592;"Geylang Road";Marshall D. Oden;Marshall_D_Oden;1.314031,103.887856
414;325;"Lorong 12 Geylang";Urouge Fishman;Urouge_Fishman;1.311688,103.878273
415;836;"Lorong 33 Geylang";Sabo Doflamingo;Sabo_Doflamingo;1.315935,103.887954
416;292;"Lorong 27 Geylang";Shirahoshi Fishman;Shirahoshi_Fishman;1.316220,103.883875
417;317;"Geylang East Avenue 1";Nefertari Gladiator;Nefertari_Gladiator;1.315622,103.885002
418;151;"Lorong Bachok";Jimbei (Okama);Jimbei_Okama;1.313942,103.879613
419;923;"Geylang East Central";Vinsmoke Mermaid Princess;Vinsmoke_Mermaid_Princess;1.320271,103.887383
420;145;"Lorong 16 Geylang";Monkey D. Marine;Monkey_D_Marine;1.311263,103.879935
421;259;"Lorong 38 Geylang";Dracule Mr.2;Dracule_Mr2;1.314343,103.888842
422;898;"Lorong 16 Geylang";Vinsmoke Ace;Vinsmoke_Ace;1.311263,103.879935
423;901;"Jalan Satu";Brook Fishman;Brook_Fishman;1.309643,103.887502
424;697;"Tanjong Katong Road";X. Drake Clown;X_Drake_Clown;1.304707,103.896406
425;449;"Lorong 40 Geylang";Bentham Mihawk;Bentham_Mihawk;1.313164,103.889899
426;859;"Lorong 16 Geylang";Eustass Duke;Eustass_Duke;1.312309,103.879837
427;947;"Lorong 16 Geylang";Franky Sir;Franky_Sir;1.311263,103.879935
428;710;"Geylang East Avenue 2";Monkey D. God;Monkey_D_God;1.316978,103.888492
429;639;"Lorong 12 Geylang";Jewelry Cat Viper;Jewelry_Cat_Viper;1.311688,103.878273
430;510;"Tanjong Katong Road";Inuarashi Mihawk;Inuarashi_Mihawk;1.304707,103.896406
431;606;"Geylang East Central";Caesar Fishman;Caesar_Fishman;1.320271,103.887383
432;769;"Lorong 27 Geylang";Jewelry Oden;Jewelry_Oden;1.316220,103.883875
433;722;"Aljunied Road";X. Drake Mihawk;X_Drake_Mihawk;1.329506,103.879412
434;65;"Lorong 28 Geylang";Nefertari Fishman;Nefertari_Fishman;1.313172,103.885564
435;698;"Lorong 27 Geylang";Buggy Katakuri;Buggy_Katakuri;1.313563,103.883757
436;34;"Lorong 33 Geylang";Jewelry Law;Jewelry_Law;1.315935,103.887954
437;726;"Lorong 28 Geylang";Dracule Kid;Dracule_Kid;1.313172,103.885564
438;623;"Guillemard Road";Buggy Duke;Buggy_Duke;1.312628,103.891373
439;93;"Aljunied Road";Shirahoshi God;Shirahoshi_God;1.329506,103.879412
440;139;"Lorong 25 Geylang";Koala Onigashima;Koala_Onigashima;1.313546,103.882821
441;255;"Geylang East Avenue 2";Koala Clown;Koala_Clown;1.316978,103.888492
442;643;"Jalan Dua";X. Drake Revo;X_Drake_Revo;1.308992,103.887518
443;447;"Lorong 16 Geylang";Enel Katakuri;Enel_Katakuri;1.311263,103.879935
444;475;"Lorong 12 Geylang";Trafalgar D. Cyborg;Trafalgar_D_Cyborg;1.311688,103.878273
445;650;"Lorong Bachok";Capone Bonney;Capone_Bonney;1.313942,103.879613
446;701;"Lorong 27 Geylang";Pedro Star Clown;Pedro_Star_Clown;1.316220,103.883875
447;669;"Paya Lebar Road";Caesar Mermaid Princess;Caesar_Mermaid_Princess;1.317709,103.892050
448;960;"Lorong 33 Geylang";Shirahoshi Cyborg;Shirahoshi_Cyborg;1.315935,103.887954
449;706;"Geylang Road";Boa Luffy;Boa_Luffy;1.314667,103.891098
450;746;"Lorong 28 Geylang";Rebecca Katakuri;Rebecca_Katakuri;1.311265,103.885729
451;694;"Lorong 12 Geylang";Tony Tony Cyborg;Tony_Tony_Cyborg;1.311688,103.878273
452;535;"Lorong 10 Geylang";Crocodile Kid;Crocodile_Kid;1.311060,103.877770
453;642;"Geylang East Avenue 2";Nefertari Chopper;Nefertari_Chopper;1.316978,103.888492
454;995;"Lorong 12 Geylang";X. Drake Doflamingo;X_Drake_Doflamingo;1.311688,103.878273
455;35;"Lorong Bachok";Charlotte Vivi;Charlotte_Vivi;1.313942,103.879613
456;430;"Tanjong Katong Road";Eustass Robin;Eustass_Robin;1.304707,103.896406
457;414;"Sims Avenue";Tony Tony Revo;Tony_Tony_Revo;1.318203,103.899875
458;441;"Lorong 38 Geylang";Nico Hancock;Nico_Hancock;1.314343,103.888842
459;708;"Lorong 33 Geylang";Monkey D. Robin;Monkey_D_Robin;1.315599,103.887786
460;71;"Lorong 16 Geylang";Charlotte Robin;Charlotte_Robin;1.310378,103.880260
461;692;"Lorong 25 Geylang";Charlotte Mr.2;Charlotte_Mr2;1.313546,103.882821
462;916;"Lorong Bachok";Eustass Revo;Eustass_Revo;1.313942,103.879613
463;105;"Jalan Dua";Buggy Clown;Buggy_Clown;1.308992,103.887518
464;208;"Lorong 27 Geylang";Yamato Oden;Yamato_Oden;1.316220,103.883875
465;894;"Geylang East Avenue 2";Trafalgar D. Gladiator;Trafalgar_D_Gladiator;1.316978,103.888492
466;876;"Lorong 28 Geylang";Portgas D. Bonney;Portgas_D_Bonney;1.313172,103.885564
467;685;"Geylang East Central";Nekomamushi Teach;Nekomamushi_Teach;1.320271,103.887383
468;717;"Lorong 22 Geylang";Enel Gang Bege;Enel_Gang_Bege;1.310695,103.882132
469;162;"Jalan Enam";Marshall D. Onigashima;Marshall_D_Onigashima;1.307526,103.885526
470;364;"Lorong 28 Geylang";Urouge (Okama);Urouge_Okama;1.313172,103.885564
471;644;"Lorong 22 Geylang";Trafalgar D. Law;Trafalgar_D_Law;1.310695,103.882132
472;760;"Lorong 10 Geylang";Caesar Marine;Caesar_Marine;1.311060,103.877770
473;273;"Geylang East Avenue 2";Bentham Cyborg;Bentham_Cyborg;1.318169,103.889075
474;540;"Geylang East Avenue 2";Brook Sir;Brook_Sir;1.316978,103.888492
475;422;"Geylang Road";Koala Mad Monk;Koala_Mad_Monk;1.310151,103.871860
476;65;"Lorong 25 Geylang";Eustass Marine;Eustass_Marine;1.313546,103.882821
477;350;"Lorong 12 Geylang";Donquixote Zoro;Donquixote_Zoro;1.311688,103.878273
478;197;"Guillemard Road";Koala Fishman;Koala_Fishman;1.310403,103.882010
479;439;"Lorong 25 Geylang";Nekomamushi Hancock;Nekomamushi_Hancock;1.313546,103.882821
480;209;"Lorong 10 Geylang";Viola Oden;Viola_Oden;1.311060,103.877770
481;891;"Lorong 33 Geylang";Inuarashi Law;Inuarashi_Law;1.315935,103.887954
482;162;"Lorong Bachok";Franky Doflamingo;Franky_Doflamingo;1.313942,103.879613
483;283;"Tanjong Katong Road";Inuarashi Marine;Inuarashi_Marine;1.306872,103.895800
484;906;"Geylang Road";Capone Red-Haired;Capone_RedHaired;1.315336,103.893413
485;556;"Paya Lebar Road";Donquixote Dancer;Donquixote_Dancer;1.317709,103.892050
486;824;"Lorong 40 Geylang";Inuarashi Zoro;Inuarashi_Zoro;1.313164,103.889899
487;840;"Tanjong Katong Road";Vinsmoke Robin;Vinsmoke_Robin;1.299503,103.897055
488;207;"Geylang Road";Crocodile Oden;Crocodile_Oden;1.310151,103.871860
489;248;"Geylang East Avenue 2";Tony Tony Cat Viper;Tony_Tony_Cat_Viper;1.316978,103.888492
490;286;"Geylang East Avenue 1";Rebecca Clown;Rebecca_Clown;1.316644,103.885156
491;465;"Aljunied Road";Enel Zoro;Enel_Zoro;1.329506,103.879412
492;993;"Guillemard Road";Rebecca (Okama);Rebecca_Okama;1.312628,103.891373
493;944;"Lorong 33 Geylang";Vinsmoke Mihawk;Vinsmoke_Mihawk;1.315935,103.887954
494;419;"Lorong 10 Geylang";Pekoms Sanji;Pekoms_Sanji;1.311060,103.877770
495;398;"Lorong 27 Geylang";Nefertari Star Clown;Nefertari_Star_Clown;1.316220,103.883875
496;459;"Jalan Dua";Buggy Cat Viper;Buggy_Cat_Viper;1.308992,103.887518
497;377;"Guillemard Road";Tony Tony Red-Haired;Tony_Tony_RedHaired;1.312628,103.891373
498;675;"Guillemard Road";Dracule Law;Dracule_Law;1.312628,103.891373
499;424;"Jalan Dua";Vinsmoke Luffy;Vinsmoke_Luffy;1.308984,103.887473
500;286;"Aljunied Road";Rebecca Doflamingo;Rebecca_Doflamingo;1.329290,103.879483
501;713;"Jalan Satu";Rebecca Mermaid Princess;Rebecca_Mermaid_Princess;1.308453,103.889060
502;165;"Geylang East Central";Brook Mr.2;Brook_Mr2;1.320271,103.887383
503;13;"Paya Lebar Road";Ivankov Duke;Ivankov_Duke;1.329811,103.889595
504;987;"Lorong 38 Geylang";Sabo Sanji;Sabo_Sanji;1.313951,103.888916
505;391;"Tanjong Katong Road";Tony Tony Oden;Tony_Tony_Oden;1.305358,103.896144
506;963;"Lorong 25 Geylang";Franky Kid;Franky_Kid;1.313488,103.882843
507;373;"Guillemard Road";Rebecca Duke;Rebecca_Duke;1.312959,103.891674
508;366;"Jalan Enam";Franky Cyborg;Franky_Cyborg;1.307334,103.885615
509;423;"Paya Lebar Road";Nico Robin;Nico_Robin;1.317709,103.892050
510;499;"Geylang Road";X. Drake Cyborg;X_Drake_Cyborg;1.313840,103.885911
511;661;"Aljunied Road";Eustass Bonney;Eustass_Bonney;1.329290,103.879483
512;83;"Lorong 33 Geylang";Ivankov Marine;Ivankov_Marine;1.316027,103.888000
513;195;"Lorong 28 Geylang";Dracule Cyborg;Dracule_Cyborg;1.312948,103.885577
514;107;"Lorong 16 Geylang";Pedro Chopper;Pedro_Chopper;1.311786,103.879886
515;275;"Paya Lebar Road";Crocodile Bonney;Crocodile_Bonney;1.317709,103.892050
516;59;"Lorong 28 Geylang";Jimbei Cat Viper;Jimbei_Cat_Viper;1.311408,103.885655
517;467;"Jalan Enam";Boa Onigashima;Boa_Onigashima;1.307334,103.885615
518;736;"Geylang East Avenue 1";Tony Tony Mermaid Princess;Tony_Tony_Mermaid_Princess;1.316649,103.885158
519;429;"Geylang East Central";Enel Vivi;Enel_Vivi;1.320271,103.887383
520;380;"Lorong 16 Geylang";Pekoms Gladiator;Pekoms_Gladiator;1.311786,103.879886
521;887;"Jalan Dua";Eustass Hancock;Eustass_Hancock;1.308984,103.887473
522;776;"Lorong 22 Geylang";Brook Zoro;Brook_Zoro;1.311354,103.882128
523;627;"Lorong 27 Geylang";Nekomamushi Bonney;Nekomamushi_Bonney;1.315859,103.883817
524;357;"Geylang East Avenue 1";Crocodile Gang Bege;Crocodile_Gang_Bege;1.316649,103.885158
525;251;"Jalan Dua";Sabo Teach;Sabo_Teach;1.308984,103.887473
526;550;"Lorong 16 Geylang";Shanks Vivi;Shanks_Vivi;1.311786,103.879886
527;228;"Jalan Enam";Enel God;Enel_God;1.307334,103.885615
528;946;"Lorong 12 Geylang";Vinsmoke Zoro;Vinsmoke_Zoro;1.311688,103.878273
529;723;"Guillemard Road";Jewelry Zoro;Jewelry_Zoro;1.311597,103.887383
530;655;"Guillemard Road";Brook Clown;Brook_Clown;1.312959,103.891674
531;333;"Lorong 16 Geylang";Tony Tony Gladiator;Tony_Tony_Gladiator;1.311786,103.879886
532;487;"Lorong 16 Geylang";Dracule Ace;Dracule_Ace;1.311786,103.879886
533;834;"Geylang East Central";Pekoms Cyborg;Pekoms_Cyborg;1.320271,103.887383
534;373;"Lorong 40 Geylang";Rebecca Law;Rebecca_Law;1.312992,103.889933
535;886;"Lorong 10 Geylang";Koala Duke;Koala_Duke;1.311505,103.877669
536;651;"Lorong 27 Geylang";Nekomamushi Kid;Nekomamushi_Kid;1.315859,103.883817
537;111;"Lorong 38 Geylang";Inuarashi Sir;Inuarashi_Sir;1.314268,103.888856
538;434;"Lorong 25 Geylang";Dracule Vivi;Dracule_Vivi;1.313488,103.882843
539;35;"Jalan Dua";Nico (Okama);Nico_Okama;1.308984,103.887473
540;907;"Geylang East Central";Rebecca Chopper;Rebecca_Chopper;1.320271,103.887383
541;555;"Lorong 12 Geylang";Charlotte Katakuri;Charlotte_Katakuri;1.311688,103.878273
542;892;"Lorong 22 Geylang";X. Drake (Okama);X_Drake_Okama;1.311354,103.882128
543;362;"Tanjong Katong Road";Inuarashi Chopper;Inuarashi_Chopper;1.305358,103.896144
544;613;"Jalan Dua";Monkey D. Fishman;Monkey_D_Fishman;1.308984,103.887473
545;460;"Sims Avenue";Inuarashi God;Inuarashi_God;1.315705,103.886943
546;779;"Lorong 27 Geylang";Bentham Fishman;Bentham_Fishman;1.315859,103.883817
547;272;"Guillemard Road";Buggy Teach;Buggy_Teach;1.312959,103.891674
548;261;"Geylang East Avenue 2";Shirahoshi Kid;Shirahoshi_Kid;1.316929,103.888472
549;127;"Geylang East Avenue 1";Inuarashi Mermaid Princess;Inuarashi_Mermaid_Princess;1.317920,103.887889
550;616;"Jalan Satu";Nico Luffy;Nico_Luffy;1.308453,103.889060
551;156;"Lorong Bachok";Sabo Onigashima;Sabo_Onigashima;1.313975,103.879763
552;92;"Geylang East Avenue 2";Roronoa Dancer;Roronoa_Dancer;1.316929,103.888472
553;6;"Geylang Road";Roronoa Bonney;Roronoa_Bonney;1.310178,103.871935
554;785;"Lorong 16 Geylang";Tony Tony Mad Monk;Tony_Tony_Mad_Monk;1.311786,103.879886
555;663;"Geylang East Avenue 2";X. Drake Katakuri;X_Drake_Katakuri;1.316929,103.888472
556;802;"Lorong 27 Geylang";Pekoms Teach;Pekoms_Teach;1.315859,103.883817
557;261;"Lorong 22 Geylang";Trafalgar D. Mermaid Princess;Trafalgar_D_Mermaid_Princess;1.311354,103.882128
558;468;"Guillemard Road";Kozuki Star Clown;Kozuki_Star_Clown;1.314192,103.893803
559;813;"Lorong 33 Geylang";Nekomamushi Mermaid Princess;Nekomamushi_Mermaid_Princess;1.315797,103.887885
560;992;"Geylang East Central";Capone Law;Capone_Law;1.320271,103.887383
561;546;"Guillemard Road";Tony Tony Duke;Tony_Tony_Duke;1.312959,103.891674
562;423;"Lorong 28 Geylang";Nico Chopper;Nico_Chopper;1.312948,103.885577
563;838;"Lorong 16 Geylang";Marshall D. Bonney;Marshall_D_Bonney;1.311786,103.879886
564;844;"Geylang Road";Portgas D. Katakuri;Portgas_D_Katakuri;1.316096,103.897248
565;332;"Geylang Road";Shirahoshi Doflamingo;Shirahoshi_Doflamingo;1.310178,103.871935
566;696;"Geylang Road";Pekoms Kid;Pekoms_Kid;1.314622,103.890865
567;806;"Lorong 28 Geylang";Ivankov Cyborg;Ivankov_Cyborg;1.312948,103.885577
568;142;"Sims Avenue";Nefertari Marine;Nefertari_Marine;1.314268,103.878873
569;371;"Paya Lebar Road";Boa Duke;Boa_Duke;1.329811,103.889595
570;844;"Geylang East Avenue 2";Eustass Fishman;Eustass_Fishman;1.316929,103.888472
571;785;"Lorong 12 Geylang";Nekomamushi Robin;Nekomamushi_Robin;1.311688,103.878273
572;17;"Geylang Road";Koala Bonney;Koala_Bonney;1.329799,103.888577
573;314;"Lorong 40 Geylang";Sabo Dancer;Sabo_Dancer;1.312992,103.889933
574;610;"Sims Avenue";Rebecca Revo;Rebecca_Revo;1.315909,103.886809
575;974;"Lorong 28 Geylang";Nekomamushi (Okama);Nekomamushi_Okama;1.311309,103.885706
576;124;"Lorong 12 Geylang";Crocodile Law;Crocodile_Law;1.311688,103.878273
577;660;"Lorong 40 Geylang";Vinsmoke Kid;Vinsmoke_Kid;1.312992,103.889933
578;15;"Lorong 25 Geylang";Monkey D. Gladiator;Monkey_D_Gladiator;1.313488,103.882843
579;270;"Lorong 10 Geylang";Capone Chopper;Capone_Chopper;1.311505,103.877669
580;950;"Lorong 22 Geylang";Yamato Mihawk;Yamato_Mihawk;1.311354,103.882128
581;116;"Lorong Bachok";Crocodile Mr.2;Crocodile_Mr2;1.313975,103.879763
582;358;"Lorong 27 Geylang";Yamato Marine;Yamato_Marine;1.314345,103.883743
583;774;"Paya Lebar Road";Boa Ace;Boa_Ace;1.317709,103.892050
584;257;"Lorong 16 Geylang";Caesar Luffy;Caesar_Luffy;1.311786,103.879886
585;149;"Lorong 38 Geylang";Donquixote Fishman;Donquixote_Fishman;1.314268,103.888856
586;182;"Sims Avenue";Yamato Cat Viper;Yamato_Cat_Viper;1.312970,103.874397
587;743;"Lorong 12 Geylang";Brook Fishman;Brook_Fishman;1.311688,103.878273
588;355;"Jalan Satu";Arlong Fishman;Arlong_Fishman;1.308453,103.889060
589;85;"Aljunied Road";Urouge Dancer;Urouge_Dancer;1.317091,103.881645
590;962;"Lorong 10 Geylang";Viola Law;Viola_Law;1.311505,103.877669
591;935;"Jalan Enam";Kozuki Fishman;Kozuki_Fishman;1.307334,103.885615
592;779;"Jalan Satu";Shanks Fishman;Shanks_Fishman;1.308453,103.889060
593;312;"Jalan Enam";Sabo (Okama);Sabo_Okama;1.307334,103.885615
594;138;"Lorong 10 Geylang";Portgas D. Red-Haired;Portgas_D_RedHaired;1.311505,103.877669
595;163;"Geylang East Avenue 1";Shirahoshi Marine;Shirahoshi_Marine;1.316649,103.885158
596;630;"Lorong 40 Geylang";Capone Mad Monk;Capone_Mad_Monk;1.313873,103.889261
597;224;"Lorong 16 Geylang";Boa Teach;Boa_Teach;1.311786,103.879886
598;224;"Lorong Bachok";Enel Duke;Enel_Duke;1.313975,103.879763
599;488;"Geylang Road";Portgas D. Mihawk;Portgas_D_Mihawk;1.313241,103.884681
600;541;"Jalan Enam";Shirahoshi Fishman;Shirahoshi_Fishman;1.307334,103.885615
601;608;"Lorong 12 Geylang";Caesar Katakuri;Caesar_Katakuri;1.311688,103.878273
602;216;"Lorong 25 Geylang";Caesar Sanji;Caesar_Sanji;1.313488,103.882843
603;602;"Jalan Dua";Ivankov Katakuri;Ivankov_Katakuri;1.308984,103.887473
